country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,exact_log_likelihood,regularized_log_likelihood
"Macao SAR, China",MAC,East Asia & Pacific,High income,2022,2,6,-inf,-30.84912761786441
Malta,MLT,Middle East & North Africa,High income,2022,2,6,-inf,3.84684006367819
Netherlands,NLD,Europe & Central Asia,High income,2022,2,6,-inf,-5.071124853033531
New Zealand,NZL,East Asia & Pacific,High income,2022,2,6,-inf,21.759837588489088
Norway,NOR,Europe & Central Asia,High income,2022,2,6,-inf,2.101163817419554
Oman,OMN,Middle East & North Africa,High income,2022,2,6,-inf,16.070198181217638
Panama,PAN,Latin America & Caribbean,High income,2022,2,6,-inf,-1.2246989387067622
Poland,POL,Europe & Central Asia,High income,2022,2,6,-inf,18.16565629647376
Portugal,PRT,Europe & Central Asia,High income,2022,2,6,-inf,24.664746723588138
Qatar,QAT,Middle East & North Africa,High income,2022,2,6,-inf,6.287778038482539
Romania,ROU,Europe & Central Asia,High income,2022,2,6,-inf,20.764925624670703
Saudi Arabia,SAU,Middle East & North Africa,High income,2022,2,6,-inf,12.06728594095042
Singapore,SGP,East Asia & Pacific,High income,2022,2,6,-inf,-8.075161298675845
Slovak Republic,SVK,Europe & Central Asia,High income,2022,2,6,-inf,18.587435355426713
Slovenia,SVN,Europe & Central Asia,High income,2022,2,6,-inf,22.827455520601063
Spain,ESP,Europe & Central Asia,High income,2022,2,6,-inf,23.38629538819362
Sweden,SWE,Europe & Central Asia,High income,2022,2,6,-inf,17.583118803755077
Switzerland,CHE,Europe & Central Asia,High income,2022,2,6,-inf,7.609698443033956
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2022,2,6,-inf,11.849928459294997
Turkiye,TUR,Europe & Central Asia,Upper middle income,2022,2,6,-inf,3.5067731495992938
United Arab Emirates,ARE,Middle East & North Africa,High income,2022,2,6,-inf,-105.20718994740523
United Kingdom,GBR,Europe & Central Asia,High income,2022,2,6,-inf,-8.761659186604263
Uruguay,URY,Latin America & Caribbean,High income,2022,2,6,-inf,22.256309280540925
Albania,ALB,Europe & Central Asia,Upper middle income,2022,3,9,-7.876225851853718,-7.9798009791521025
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,3,9,0.7952050957988277,0.6899706474933218
American Samoa,ASM,East Asia & Pacific,High income,2022,3,9,5.998209465379402,5.892017472578475
Andorra,AND,Europe & Central Asia,High income,2022,3,9,-8.286839659333218,-8.388601405448483
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,3,9,-44.75068551683885,-44.87144264284806
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,3,9,1.4927352001238603,1.389754498172099
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,3,9,-47.870090562182064,-47.98691047768681
